label,timestamp,duration,pkg,dram,socket
ttfs,1722419903.4332583,33504.828,4488453.0,725863.0,0
ttfs,1722419903.7471874,35869.243,4741809.0,795080.0,0
ttfs,1722419904.0744607,35987.447,4584095.0,782350.0,0
ttfs,1722419904.3941503,36608.265,4668506.0,795233.0,0
ttfs,1722419904.713909,38827.765,4963733.0,825940.0,0
ttfs,1722419905.035626,38977.49,4936145.0,821717.0,0
ttfs,1722419905.3561869,38605.471,4918200.0,827623.0,0
ttfs,1722419905.6786208,35182.259,4650684.0,769942.0,0
ttfs,1722419905.9964201,31780.537,4286976.0,718733.0,0
ttfs,1722419906.270441,31257.213,4284412.0,709032.0,0
ttfs,1722419906.5489953,32141.116,4396229.0,720860.0,0
ttfs,1722419906.8168316,30057.649,4251942.0,697619.0,0
ttfs,1722419907.0918372,32258.786,4311573.0,723674.0,0
ttfs,1722419907.3674407,31977.775,4249013.0,714112.0,0
ttfs,1722419907.6413682,33083.08,4412159.0,729886.0,0
ttfs,1722419907.917889,32609.677,4309315.0,716071.0,0
ttfs,1722419908.193941,31915.987,4219655.0,736083.0,0
ttfs,1722419908.468302,32826.317,4323353.0,728157.0,0
ttfs,1722419908.7423422,31453.119,4246266.0,698017.0,0
ttfs,1722419909.0151193,31743.898,4363758.0,713638.0,0
ttfs,1722419909.2887077,32769.01,4457020.0,742081.0,0
ttfs,1722419909.5623868,33373.574,4559803.0,743809.0,0
ttfs,1722419909.836882,36884.204,4936450.0,796258.0,0
ttfs,1722419910.11662,32952.442,4523792.0,739388.0,0
ttfs,1722419910.3902185,35227.758,4707995.0,759600.0,0
ttfs,1722419910.6673994,32064.243,4366627.0,717141.0,0
ttfs,1722419910.9392288,32637.264,4447620.0,732456.0,0
ttfs,1722419911.21591,35976.607,4831103.0,785915.0,0
ttfs,1722419911.494904,34180.07,4631458.0,770615.0,0
ttfs,1722419911.7806776,35135.045,4546253.0,765383.0,0
ttfs,1722419912.067052,33175.071,4331166.0,727362.0,0
ttfs,1722419912.3411932,32084.789,4249196.0,720584.0,0
ttfs,1722419912.621672,33127.082,4382557.0,752424.0,0
ttfs,1722419912.9449031,37171.43,3851187.0,802317.0,0
ttfs,1722419913.2715545,34222.947,3912832.0,757993.0,0
ttfs,1722419913.5941346,36122.223,3696645.0,781906.0,0
ttfs,1722419913.9260707,35606.594,3588735.0,765245.0,0
ttfs,1722419914.242508,30363.147,4156484.0,697864.0,0
ttfs,1722419914.5521283,34827.651,4574268.0,765536.0,0
ttfs,1722419914.8628647,29834.376,4085561.0,686480.0,0
ttfs,1722419915.1882083,35910.893,4738696.0,783192.0,0
ttfs,1722419915.4988406,29753.688,4193288.0,680988.0,0
ttfs,1722419915.8048615,32086.41,4353626.0,723261.0,0
ttfs,1722419916.1115537,34557.727,4379567.0,779565.0,0
ttfs,1722419916.4390519,31782.445,4230031.0,718366.0,0
ttfs,1722419916.7444036,32653.048,4304981.0,733099.0,0
ttfs,1722419917.086087,34520.146,4691334.0,768503.0,0
ttfs,1722419917.3984873,30587.472,4181080.0,693885.0,0
ttfs,1722419917.7040985,30347.622,4108265.0,692616.0,0
ttfs,1722419918.0105324,30431.754,4135061.0,692876.0,0
ttfs,1722419918.3201265,31200.432,4132924.0,695094.0,0
ttfs,1722419918.595094,30586.23,4259511.0,704228.0,0
ttfs,1722419918.8626182,32536.783,4530018.0,727209.0,0
ttfs,1722419919.1373749,28457.716,4035634.0,668687.0,0
ttfs,1722419919.4017754,28566.688,4062367.0,668105.0,0
ttfs,1722419919.6667397,28781.04,4082631.0,670492.0,0
ttfs,1722419919.9334717,31015.822,4398487.0,717386.0,0
ttfs,1722419920.2001085,31192.271,4371021.0,701107.0,0
ttfs,1722419920.470401,29154.206,4115407.0,666866.0,0
ttfs,1722419920.7356672,28850.312,4176502.0,682288.0,0
ttfs,1722419921.0050375,34600.8,4724170.0,767142.0,0
ttfs,1722419921.2890275,30025.545,4197804.0,682166.0,0
ttfs,1722419921.5603876,30397.455,4176259.0,705912.0,0
ttfs,1722419921.8318255,29774.978,4081044.0,681860.0,0
ttfs,1722419922.1021192,29481.031,4074025.0,681263.0,0
ttfs,1722419922.3699412,34084.635,4812121.0,803158.0,0
ttfs,1722419922.6467588,36442.238,4755420.0,780591.0,0
ttfs,1722419922.9218466,30966.657,4247669.0,702041.0,0
ttfs,1722419923.1890736,32097.247,4381459.0,722512.0,0
ttfs,1722419923.4586918,30737.309,4192860.0,695385.0,0
ttfs,1722419923.7278447,30706.197,4075978.0,688469.0,0
ttfs,1722419923.9979932,32534.765,4186146.0,712062.0,0
ttfs,1722419924.2779574,40334.349,4941882.0,850114.0,0
ttfs,1722419924.5793219,43154.665,5307848.0,916027.0,0
ttfs,1722419924.8736935,30597.968,4244313.0,695675.0,0
ttfs,1722419925.1501849,34393.606,4717090.0,770722.0,0
ttfs,1722419925.4221702,30734.664,4250966.0,703570.0,0
ttfs,1722419925.703139,30734.203,4164845.0,706707.0,0
ttfs,1722419925.972693,28460.903,3998952.0,660577.0,0
ttfs,1722419926.2417626,28813.051,4158925.0,683191.0,0
ttfs,1722419926.5097408,28652.256,3938527.0,656049.0,0
ttfs,1722419926.7744043,28525.325,3959523.0,655269.0,0
ttfs,1722419927.042305,32555.057,4434559.0,751292.0,0
ttfs,1722419927.3712122,31041.489,4281850.0,697818.0,0
ttfs,1722419927.6610591,29466.922,4085133.0,690918.0,0
ttfs,1722419927.9281306,29923.486,4326710.0,720202.0,0
ttfs,1722419928.197149,29431.57,4100332.0,688439.0,0
ttfs,1722419928.461056,28443.315,4077321.0,668258.0,0
ttfs,1722419928.7338688,28684.001,3945974.0,650021.0,0
ttfs,1722419929.0013204,28823.054,4033803.0,667049.0,0
ttfs,1722419929.2646077,29386.015,4168324.0,680804.0,0
ttfs,1722419929.5600443,31262.288,4298756.0,699210.0,0
