label,timestamp,duration,pkg,dram,socket
stime,1722419903.4670506,682.192,0.0,0.0,0
stime,1722419903.783283,480.241,0.0,0.0,0
stime,1722419904.1106741,494.103,0.0,0.0,0
stime,1722419904.4309824,500.68,0.0,0.0,0
stime,1722419904.752966,505.742,0.0,0.0,0
stime,1722419905.0748231,528.214,120178.0,21772.0,0
stime,1722419905.3950198,454.242,0.0,0.0,0
stime,1722419905.7140248,502.182,0.0,0.0,0
stime,1722419906.028405,491.961,0.0,0.0,0
stime,1722419906.3019,478.058,0.0,0.0,0
stime,1722419906.5813553,429.227,0.0,0.0,0
stime,1722419906.8471637,455.877,0.0,0.0,0
stime,1722419907.124316,422.778,0.0,0.0,0
stime,1722419907.3996305,423.188,0.0,0.0,0
stime,1722419907.6746702,429.838,0.0,0.0,0
stime,1722419907.950704,445.814,0.0,0.0,0
stime,1722419908.2260728,489.52,0.0,0.0,0
stime,1722419908.5013437,448.127,0.0,0.0,0
stime,1722419908.774013,458.526,140320.0,23087.0,0
stime,1722419909.0471427,439.837,0.0,0.0,0
stime,1722419909.3216827,447.338,0.0,0.0,0
stime,1722419909.5959797,496.085,0.0,0.0,0
stime,1722419909.8739831,472.192,0.0,0.0,0
stime,1722419910.1497824,419.023,0.0,0.0,0
stime,1722419910.4256608,501.793,0.0,0.0,0
stime,1722419910.699679,443.027,0.0,0.0,0
stime,1722419910.9720793,507.884,0.0,0.0,0
stime,1722419911.2520986,443.376,0.0,0.0,0
stime,1722419911.5292952,428.765,0.0,0.0,0
stime,1722419911.8160193,444.534,0.0,0.0,0
stime,1722419912.1004348,479.719,0.0,0.0,0
stime,1722419912.3734822,487.973,0.0,0.0,0
stime,1722419912.6553707,632.781,0.0,0.0,0
stime,1722419912.9823313,544.603,0.0,0.0,0
stime,1722419913.306008,541.783,0.0,0.0,0
stime,1722419913.6305041,480.234,0.0,0.0,0
stime,1722419913.961929,479.182,86121.0,16860.0,0
stime,1722419914.2730844,427.684,0.0,0.0,0
stime,1722419914.587172,477.054,0.0,0.0,0
stime,1722419914.8929071,423.741,0.0,0.0,0
stime,1722419915.2243211,419.873,0.0,0.0,0
stime,1722419915.528805,483.585,0.0,0.0,0
stime,1722419915.837159,459.165,0.0,0.0,0
stime,1722419916.1463063,405.286,96557.0,16356.0,0
stime,1722419916.4710448,466.645,0.0,0.0,0
stime,1722419916.7772646,444.497,0.0,0.0,0
stime,1722419917.1208138,530.941,0.0,0.0,0
stime,1722419917.4292855,524.247,0.0,0.0,0
stime,1722419917.7346551,499.756,0.0,0.0,0
stime,1722419918.0411713,492.827,0.0,0.0,0
stime,1722419918.351538,462.733,0.0,0.0,0
stime,1722419918.6258647,465.509,0.0,0.0,0
stime,1722419918.8953488,433.78,0.0,0.0,0
stime,1722419919.166026,444.866,0.0,0.0,0
stime,1722419919.4305344,445.88,0.0,0.0,0
stime,1722419919.6957126,472.487,0.0,0.0,0
stime,1722419919.964682,518.175,0.0,0.0,0
stime,1722419920.2314894,491.125,0.0,0.0,0
