label,timestamp,duration,pkg,dram,socket
srate,1722419903.467902,236561.557,25250790.0,3860389.0,0
srate,1722419903.783933,247679.675,26581231.0,4134335.0,0
srate,1722419904.1113436,241509.177,25269894.0,3975185.0,0
srate,1722419904.431648,240423.531,26651177.0,4197340.0,0
srate,1722419904.7536473,241278.282,25328548.0,3977694.0,0
srate,1722419905.0755258,239944.05,25134884.0,3950322.0,0
srate,1722419905.3956463,241325.373,25982050.0,3978444.0,0
srate,1722419905.7146978,241719.786,25954646.0,3989047.0,0
srate,1722419906.0290577,202344.753,22572086.0,3374079.0,0
srate,1722419906.3025367,203928.305,22507206.0,3409238.0,0
srate,1722419906.5819075,199766.656,21717962.0,3338444.0,0
srate,1722419906.8477647,203815.277,22291081.0,3393234.0,0
srate,1722419907.1248884,202642.228,22002263.0,3388614.0,0
srate,1722419907.4002116,203530.604,22187870.0,3402796.0,0
srate,1722419907.6752605,205046.798,22256901.0,3423681.0,0
srate,1722419907.951289,203072.637,22057744.0,3394702.0,0
srate,1722419908.2267096,202831.317,21956975.0,3381912.0,0
srate,1722419908.501951,202624.864,22315128.0,3379051.0,0
srate,1722419908.77463,203079.084,22669436.0,3374170.0,0
srate,1722419909.0477486,202927.499,22720401.0,3400272.0,0
srate,1722419909.3222802,202819.904,22639102.0,3387696.0,0
srate,1722419909.596635,202651.281,22737308.0,3392270.0,0
srate,1722419909.874609,203171.416,22756412.0,3390098.0,0
srate,1722419910.1503582,202337.735,22641666.0,3386700.0,0
srate,1722419910.42632,202426.074,22616763.0,3364562.0,0
srate,1722419910.7002826,202181.596,22455631.0,3351969.0,0
srate,1722419910.9727428,205166.478,22976565.0,3432984.0,0
srate,1722419911.2527087,204783.061,22894961.0,3408626.0,0
srate,1722419911.529881,209807.183,22589298.0,3515328.0,0
srate,1722419911.8166158,204182.541,21650030.0,3402949.0,0
srate,1722419912.1010568,202877.965,21436713.0,3391887.0,0
srate,1722419912.374114,207453.932,23188784.0,3645883.0,0
srate,1722419912.6563365,244668.096,19950816.0,3401083.0,0
srate,1722419912.9830067,245979.576,18331618.0,3460936.0,0
srate,1722419913.3066666,242902.946,19015760.0,3398252.0,0
srate,1722419913.6311069,245988.234,18108292.0,3461671.0,0
srate,1722419913.9625392,240712.31,21784307.0,3891020.0,0
srate,1722419914.2736208,238988.329,25042050.0,3951133.0,0
srate,1722419914.587758,238191.722,24959592.0,3942902.0,0
srate,1722419914.893439,255547.951,26702995.0,4197418.0,0
srate,1722419915.224847,237227.393,25355648.0,3912761.0,0
srate,1722419915.529399,236661.533,25438045.0,3911568.0,0
srate,1722419915.837727,236951.185,25604854.0,3925491.0,0
srate,1722419916.1468403,253776.035,26699761.0,4182332.0,0
